一,:,一,,,,,,
子,:,子,,,,,,
八,:,ノ,丶,,,,,
月,:,冂,二,,,,,
白,:,ノ,日,,,,,
金,:,𠆢,王,丷,,,,
車,:,一,日,十,,,,
木,:,十,ハ,,,,,
山,:,凵,｜,,,,,
父,:,ノ,丶,ノ,丶,,,
女,:,女,,,,,,
人,:,ノ,丶,,,,,
行,:,彳,二,亅,,,,
日,:,口,一,,,,,
火,:,人,丶,丶,,,,
西,:,一,儿,囗,,,,
十,:,一,｜,,,,,
小,:,亅,丶,丶,,,,
雨,:,雨,,,,,,
水,:,水,,,,,,
入,:,ノ,丶,,,,,
九,:,九,,,,,,
母,:,母,,,,,,
川,:,ノ,｜,｜,,,,
五,:,一,｜,ユ,,,,
二,:,二,,,,,,
生,:,𠂉,土,,,,,
長,:,長,,,,,,
食,:,𠆢,丶,艮,,,,
大,:,一,人,,,,,
高,:,亠,冂,口,口,,,
土,:,十,一,,,,,
見,:,儿,目,,,,,
右,:,一,ノ,口,,,,
語,:,言,五,口,,,,
校,:,木,亠,父,,,,
間,:,門,日,,,,,
円,:,冂,亠,,,,,
分,:,ハ,刀,,,,,
下,:,一 ,卜,,,,,
今,:,今,,,,,,
国,:,囗,王,丶,,,,
中,:,｜,口,,,,,
時,:,日,寺,,,,,
天,:,二,人,,,,,
七,:,七,,,,,,
北,:,爿,匕,,,,,
学,:,⺌,冖,子,,,,
前,:,丷,一,月,⺉,,,
年,:,年,,,,,,
午,:,𠂉,十,,,,,
読,:,言,士,冖,儿,,,
休,:,⺅,木,,,,,
名,:,夕,口,,,,,
東,:,木,日,,,,,
書,:,日,聿,,,,,
万,:,一 ,勹,,,,,
何,:,⺅,可,,,,,
気,:,气,丶,ノ,,,,
男,:,田,力,,,,,
四,:,囗,儿,,,,,
聞,:,門,耳,,,,,
千,:,ノ,十,,,,,
左,:,一,ノ,工,,,,
半,:,丷,一 ,十,,,,
電,:,雨,田,乙,,,,
出,:,山,山,,,,,
本,:,木,一,,,,,
上,:,卜,一,,,,,
来,:,一,米,,,,,
六,:,亠,ハ,,,,,
話,:,言,千,口,,,,
後,:,彳,幺,夂,,,,
南,:,十,冂,丷,干,,,
百,:,一,ノ,日,,,,
友,:,一,ノ,又,,,,
毎,:,𠂉,毋,,,,,
外,:,夕,卜,,,,,
先,:,ノ,土,儿,,,,
三,:,一,二,,,,,
音,:,立,日,,,,,
牛,:,𠂉,十,,,,,
魚,:,勹,田,⺣,,,,
犬,:,大,丶,,,,,
元,:,二,儿,,,,,
言,:,亠,二,口,,,,
口,:,口,,,,,,
工,:,二,｜,,,,,
黒,:,田,土,⺣,,,,
止,:,｜,卜,一,,,,
耳,:,耳,,,,,,
自,:,自,,,,,,
手,:,ノ,二,亅,,,,
色,:,勹,巴,,,,,
心,:,心,,,,,,
世,:,世,,,,,,
青,:,一,土,月,,,,
夕,:,夕,,,,,,
赤,:,赤,,,,,,
走,:,土,止,,,,,
足,:,口,止,,,,,
鳥,:,鳥,,,,,,
田,:,口,十,,,,,
肉,:,冂,人,人,,,,
買,:,⺲,目,ハ,,,,
品,:,口,口,口,,,,
風,:,几,ノ,虫,,,,
文,:,亠,丶,ノ,,,,
方,:,亠,勹,,,,,
目,:,口,二,,,,,
用,:,冂,二,｜,,,,
立,:,亠,丷,一,,,,
力,:,力,,,,,,
悪,:,亜,心,,,,,
安,:,宀,女,,,,,
以,:,｜,丶,人,,,,
医,:,匚,矢,,,,,
意,:,立,日,心,,,,
員,:,口,目,ハ,,,,
院,:,⻖,宀,元,,,,
飲,:,食,欠,,,,,
運,:,⻌,冖,車,,,,
英,:,⺾,央,,,,,
映,:,日,央,,,,,
駅,:,馬,尺,,,,,
屋,:,尸,至,,,,,
花,:,⺾,⺅,匕,,,,
夏,:,一,自,夂,,,,
家,:,宀,豕,,,,,
歌,:,可,可,欠,,,,
画,:,一,田,凵,,,,
会,:,𠆢,二,厶,,,,
海,:,⺡,𠂉,毋,,,,
界,:,田,𠆢,儿,,,,
開,:,門,一,廾,,,,
楽,:,冫,白,冫,木,,,
漢,:,⺡,⺾,口,一,大,,
館,:,食,官,,,,,
起,:,走,已,,,,,
帰,:,⺉,ヨ,冖,巾,,,
究,:,穴,九,,,,,
急,:,勹,ヨ,心,,,,
去,:,土,厶,,,,,
京,:,亠,口,小,,,,
強,:,弓,厶,虫,,,,
教,:,⺹,子,攵,,,,
業,:,業,,,,,,
近,:,⻌,斤,,,,,
銀,:,金,艮,,,,,
空,:,穴,工,,,,,
兄,:,口,儿,,,,,
計,:,言,十,,,,,
建,:,廴,聿,,,,,
研,:,石,一,廾,,,,
験,:,馬,𠆢,一,口,人,,
古,:,十,口,,,,,
広,:,广,厶,,,,,
考,:,⺹,勹,,,,,
作,:,⺅,𠂉,｜,二,,,
仕,:,⺅,士,,,,,
死,:,歹,匕,,,,,
私,:,禾,厶,,,,,
使,:,⺅,一,史,,,,
始,:,女,厶,口,,,,
姉,:,女,亠,巾,,,,
思,:,田,心,,,,,
紙,:,糸,氏,,,,,
試,:,言,弋,工,,,,
字,:,宀,子,,,,,
事,:,一,亅,口,ヨ,,,
持,:,⺘,寺,,,,,
室,:,宀,至,,,,,
質,:,斤,斤,貝,,,,
写,:,冖,与,,,,,
社,:,⺭,土,,,,,
者,:,⺹,日,,,,,
借,:,⺅,昔,,,,,
主,:,丶,王,,,,,
秋,:,禾,火,,,,,
終,:,糸,冬,,,,,
習,:,羽,白,,,,,
週,:,⻌,冂,土,口,,,
集,:,隹,木,,,,,
住,:,⺅,主,,,,,
重,:,千,田,土,,,,
春,:,二,大,日,,,,
少,:,小,ノ,,,,,
場,:,土,日,一,勿,,,
真,:,十,具,,,,,
