id;Kanji;JLPT-test
8;圧;2
13;案;2
16;衣;2
18;囲;2
20;依;2
21;委;2
25;胃;2
27;異;2
28;移;2
39;域;2
47;印;2
59;宇;2
60;羽;2
67;雲;2
68;永;2
72;栄;2
73;営;2
76;鋭;2
81;液;2
88;延;2
100;塩;2
104;汚;2
107;央;2
108;応;2
112;欧;2
116;奥;2
120;億;2
129;温;2
136;仮;2
140;価;2
142;河;2
148;荷;2
150;菓;2
151;貨;2
162;課;2
172;介;2
174;灰;2
176;快;2
178;改;2
185;械;2
188;階;2
196;貝;2
210;各;2
211;角;2
212;拡;2
213;革;2
219;較;2
229;額;2
247;干;2
248;刊;2
249;甘;2
250;汗;2
256;巻;2
257;看;2
259;乾;2
266;換;2
278;管;2
286;環;2
287;簡;2
292;丸;2
293;含;2
294;岸;2
295;岩;2
304;机;2
307;希;2
311;祈;2
312;季;2
321;基;2
339;技;2
352;喫;2
353;詰;2
357;逆;2
360;久;2
364;旧;2
383;巨;2
393;漁;2
396;叫;2
401;協;2
402;況;2
404;挟;2
408;胸;2
413;境;2
414;橋;2
417;競;2
426;極;2
427;玉;2
430;均;2
438;禁;2
455;隅;2
458;掘;2
463;訓;2
466;軍;2
468;群;2
476;型;2
479;恵;2
485;敬;2
488;傾;2
498;芸;2
502;劇;2
508;血;2
517;券;2
518;肩;2
526;軒;2
527;健;2
538;賢;2
554;減;2
558;戸;2
561;固;2
566;故;2
567;枯;2
568;個;2
569;庫;2
570;湖;2
571;雇;2
589;公;2
609;効;2
612;肯;2
614;厚;2
618;紅;2
619;荒;2
620;郊;2
621;香;2
624;耕;2
625;航;2
629;康;2
632;黄;2
636;硬;2
640;鉱;2
648;講;2
659;谷;2
666;骨;2
674;根;2
676;混;2
685;査;2
686;砂;2
694;再;2
702;採;2
704;祭;2
706;細;2
718;材;2
732;咲;2
733;冊;2
734;札;2
735;刷;2
743;皿;2
753;算;2
765;史;2
766;司;2
772;糸;2
774;伺;2
775;志;2
778;刺;2
781;枝;2
791;脂;2
794;詞;2
801;誌;2
808;寺;2
813;児;2
835;湿;2
847;捨;2
879;授;2
885;州;2
886;舟;2
888;周;2
890;拾;2
893;修;2
911;柔;2
919;祝;2
927;述;2
937;純;2
939;順;2
940;準;2
949;署;2
951;諸;2
962;召;2
964;床;2
969;承;2
970;昇;2
975;将;2
984;章;2
985;紹;2
990;焼;2
996;象;2
999;照;2
1005;賞;2
1012;条;2
1015;城;2
1021;畳;2
1022;蒸;2
1032;植;2
1035;触;2
1043;伸;2
1044;臣;2
1047;辛;2
1057;針;2
1067;震;2
1112;姓;2
1118;星;2
1120;省;2
1123;清;2
1127;勢;2
1135;整;2
1137;税;2
1152;績;2
1158;接;2
1159;設;2
1162;節;2
1169;占;2
1172;専;2
1173;泉;2
1174;浅;2
1190;線;2
1198;善;2
1217;双;2
1228;捜;2
1232;掃;2
1241;装;2
1244;層;2
1245;総;2
1249;操;2
1250;燥;2
1254;造;2
1255;像;2
1257;憎;2
1258;蔵;2
1259;贈;2
1260;臓;2
1265;則;2
1270;測;2
1276;卒;2
1280;孫;2
1281;尊;2
1282;損;2
1301;帯;2
1304;袋;2
1306;替;2
1324;濯;2
1335;担;2
1337;炭;2
1347;団;2
1366;竹;2
1367;畜;2
1370;築;2
1377;仲;2
1378;虫;2
1385;柱;2
1389;駐;2
1390;著;2
1391;貯;2
1394;庁;2
1395;兆;2
1400;張;2
1408;超;2
1421;沈;2
1422;珍;2
1425;賃;2
1442;底;2
1451;停;2
1459;泥;2
1463;滴;2
1469;鉄;2
1476;展;2
1482;殿;2
1491;塗;2
1500;灯;2
1508;凍;2
1510;島;2
1514;党;2
1518;塔;2
1521;湯;2
1526;筒;2
1541;童;2
1544;銅;2
1545;導;2
1554;毒;2
1560;届;2
1565;鈍;2
1566;曇;2
1575;軟;2
1585;乳;2
1597;燃;2
1598;悩;2
1601;脳;2
1602;農;2
1603;濃;2
1605;波;2
1612;拝;2
1623;倍;2
1633;泊;2
1638;薄;2
1639;麦;2
1642;爆;2
1646;肌;2
1663;坂;2
1665;板;2
1666;版;2
1669;般;2
1670;販;2
1683;比;2
1684;皮;2
1687;批;2
1696;被;2
1708;鼻;2
1711;匹;2
1714;筆;2
1717;氷;2
1721;評;2
1723;標;2
1725;秒;2
1740;布;2
1742;府;2
1751;符;2
1753;普;2
1756;膚;2
1760;武;2
1763;封;2
1767;副;2
1768;幅;2
1769;復;2
1772;複;2
1775;沸;2
1776;仏;2
1778;粉;2
1790;兵;2
1792;並;2
1802;壁;2
1807;片;2
1808;辺;2
1813;編;2
1818;保;2
1821;補;2
1824;募;2
1830;包;2
1834;宝;2
1848;豊;2
1858;防;2
1867;帽;2
1868;棒;2
1869;貿;2
1871;暴;2
1893;磨;2
1897;枚;2
1899;埋;2
1922;無;2
1937;綿;2
1941;毛;2
1964;油;2
1968;輸;2
1973;勇;2
1976;郵;2
1990;預;2
1991;幼;2
2003;溶;2
2004;腰;2
2007;踊;2
2015;浴;2
2017;翌;2
2025;絡;2
2029;乱;2
2030;卵;2
2040;裏;2
2044;陸;2
2046;律;2
2048;略;2
2053;粒;2
2060;了;2
2064;涼;2
2067;量;2
2069;領;2
2071;療;2
2075;緑;2
2079;輪;2
2083;涙;2
2087;令;2
2094;零;2
2097;齢;2
2100;歴;2
2105;恋;2
2108;練;2
2126;録;2
2135;湾;2
2136;腕;2
